# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS05180	1023	1112	1056	49	28	67
gene-A1F92_RS05185	55	43	44	551	332	396
gene-A1F92_RS05190	948	953	1016	416	370	468
gene-A1F92_RS05195	22	22	18	43	21	27
gene-A1F92_RS05200	994	1117	1007	348	242	329
gene-A1F92_RS05205	338	342	339	11	12	16
gene-A1F92_RS05210	1973	2080	2001	146	154	136
gene-A1F92_RS05215	824	997	945	23	16	28
gene-A1F92_RS05220	395	412	452	4	4	6
gene-A1F92_RS05225	390	389	397	8	2	13
gene-A1F92_RS05230	796	909	956	17	19	21
gene-A1F92_RS05235	862	916	861	20	20	26
gene-A1F92_RS05240	626	697	667	8	15	17
gene-A1F92_RS05245	900	977	923	26	32	21
gene-A1F92_RS05250	1332	1370	1321	60	55	64
gene-A1F92_RS05255	963	1014	922	72	63	59
gene-A1F92_RS05260	1142	1118	1110	64	73	73
gene-A1F92_RS05265	458	486	486	15	23	27
gene-A1F92_RS05270	247	269	279	106	74	65
gene-A1F92_RS05275	457	500	477	200	161	202
gene-A1F92_RS05280	84	112	110	73	46	62
gene-A1F92_RS05285	31	36	29	0	2	0
gene-A1F92_RS05290	46	35	44	2	0	0
gene-A1F92_RS05295	24	35	30	1	1	1
gene-A1F92_RS05300	41	43	41	4	0	1
gene-A1F92_RS05305	20	28	29	1	1	2
gene-A1F92_RS05310	36	22	39	2	2	3
gene-A1F92_RS05315	42	30	28	1	1	3
gene-A1F92_RS05320	46	23	34	4	0	4
gene-A1F92_RS05325	42	41	26	6	2	7
gene-A1F92_RS05330	46	51	50	4	10	5
gene-A1F92_RS05335	106	113	93	3	8	6
gene-A1F92_RS05340	31	13	30	11	11	6
gene-A1F92_RS05345	17	18	28	4	4	4
gene-A1F92_RS05350	51	63	56	11	8	13
gene-A1F92_RS05355	27	41	30	5	3	3
gene-A1F92_RS05365	86	90	71	25	16	22
gene-A1F92_RS05370	39	50	41	14	26	21
gene-A1F92_RS05375	5	5	1	0	0	0
gene-A1F92_RS05380	20	15	23	11	10	26
gene-A1F92_RS05385	42	35	29	3	0	4
gene-A1F92_RS05390	13	7	10	1	1	2
gene-A1F92_RS05395	120	146	127	6	7	12
gene-A1F92_RS05400	27	30	28	4	10	5
gene-A1F92_RS05405	110	92	124	32	27	25
gene-A1F92_RS05410	63	72	67	35	30	20
gene-A1F92_RS05415	104	113	94	55	48	48
gene-A1F92_RS05420	79	101	104	6	4	6
gene-A1F92_RS05425	88	94	88	6	5	6
gene-A1F92_RS05430	212	209	219	1	5	10
gene-A1F92_RS05435	180	202	189	6	5	7
gene-A1F92_RS05440	68	59	66	6	6	9
gene-A1F92_RS05445	118	134	133	11	13	11
gene-A1F92_RS05450	119	104	77	12	6	17
gene-A1F92_RS05455	73	69	74	22	12	11
gene-A1F92_RS05460	45	54	45	11	10	14
gene-A1F92_RS05465	31	28	37	4	4	10
gene-A1F92_RS05475	1495	1605	1667	92	75	82
gene-A1F92_RS05480	243	200	250	7	14	20
gene-A1F92_RS05485	148	171	189	12	8	8
gene-A1F92_RS05490	936	1027	1076	77	43	51
gene-A1F92_RS05495	563	566	574	97	74	87
gene-A1F92_RS05500	15	16	9	1	1	1
gene-A1F92_RS05505	9	9	6	2	1	0
gene-A1F92_RS05510	6	4	13	2	0	1
gene-A1F92_RS05515	33	24	36	2	3	10
gene-A1F92_RS05520	66	71	83	9	16	16
gene-A1F92_RS05525	333	362	385	612	460	555
gene-A1F92_RS05530	1664	1768	1741	610	493	587
gene-A1F92_RS05535	554	610	631	15	14	20
gene-A1F92_RS05540	309	296	300	15	14	17
gene-A1F92_RS05545	1187	1154	1058	90	81	120
gene-A1F92_RS05550	261	264	249	16	16	12
gene-A1F92_RS05555	125	160	149	31	43	39
gene-A1F92_RS05560	778	690	731	29	23	35
gene-A1F92_RS05565	532	606	552	55	35	49
gene-A1F92_RS05570	331	374	390	114	115	136
gene-A1F92_RS05575	362	403	354	98	106	96
gene-A1F92_RS05580	250	275	278	59	56	60
gene-A1F92_RS05585	6474	7342	7672	6476	5965	6634
gene-A1F92_RS05590	2341	2699	2657	88	78	103
gene-A1F92_RS05595	170	200	207	87	49	72
gene-A1F92_RS05600	609	678	659	56	48	71
gene-A1F92_RS05605	234	222	221	16	11	15
gene-A1F92_RS05610	291	279	343	40	45	40
gene-A1F92_RS05615	294	310	304	48	25	43
gene-A1F92_RS05620	250	268	284	67	74	110
gene-A1F92_RS05625	126	135	147	26	22	29
gene-A1F92_RS05630	227	241	236	55	45	51
gene-A1F92_RS05635	259	298	291	96	66	66
gene-A1F92_RS05640	313	319	287	157	141	162
gene-A1F92_RS05645	1187	1177	1089	134	94	125
gene-A1F92_RS05650	39	77	48	46	28	33
gene-A1F92_RS05655	6957	7486	7621	29102	20552	22558
gene-A1F92_RS05660	2677	2642	2589	2643	2497	2265
gene-A1F92_RS05665	8314	8441	8406	2724	2352	2452
gene-A1F92_RS05670	34704	35370	35850	15570	13904	13822
gene-A1F92_RS05675	1450	1531	1579	105	79	109
gene-A1F92_RS05680	1151	1324	1277	112	90	83
gene-A1F92_RS05685	1744	1848	1743	205	225	232
gene-A1F92_RS05690	994	1143	1129	104	70	83
gene-A1F92_RS05695	988	1043	1079	249	237	265
gene-A1F92_RS05700	1620	1650	1515	110	108	143
gene-A1F92_RS16510	2665	2934	2760	87	58	108
rna-A1F92_RS05710	190	226	235	6	3	13
gene-A1F92_RS05715	2013	2128	2158	85	72	105
rna-A1F92_RS05725	0	0	0	0	0	0
rna-A1F92_RS05730	3	3	3	0	0	0
rna-A1F92_RS05735	2	0	0	0	0	0
rna-A1F92_RS05740	0	0	1	5	0	0
rna-A1F92_RS05745	0	0	0	0	0	602
rna-A1F92_RS05750	0	0	0	0	0	3
rna-A1F92_RS05755	2	3	3	0	1	0
rna-A1F92_RS05760	86	82	95	0	0	0
rna-A1F92_RS05765	10	6	9	0	0	0
rna-A1F92_RS05770	143	169	176	6	1	4
rna-A1F92_RS05775	191	235	268	5	4	32
rna-A1F92_RS05780	131	169	184	0	8	5
rna-A1F92_RS05785	76	119	118	1	0	2
rna-A1F92_RS05790	116	160	167	0	1	2
rna-A1F92_RS05795	4113	4002	4158	35	22	26
rna-A1F92_RS05800	202	191	173	1	130	419
gene-A1F92_RS05805	28	16	25	9	6	12
gene-A1F92_RS05810	40	38	44	10	7	7
gene-A1F92_RS05815	134	133	111	59	35	47
gene-A1F92_RS05820	2167	2343	2228	356	332	401
gene-A1F92_RS05825	216	266	250	23	13	8
gene-A1F92_RS05835	145	174	178	47	46	48
gene-A1F92_RS05840	121	133	115	41	53	36
gene-A1F92_RS05845	66	76	98	4	2	1
gene-A1F92_RS05850	64	70	57	4	2	0
gene-A1F92_RS05855	138	151	181	39	35	33
gene-A1F92_RS05860	296	288	314	5	9	3
gene-A1F92_RS05865	6919	7459	7582	560	498	663
gene-A1F92_RS05870	167	218	198	13	9	12
gene-A1F92_RS05875	151	156	162	14	15	20
gene-A1F92_RS05880	165	142	183	7	8	15
gene-A1F92_RS05885	211	207	207	18	12	26
gene-A1F92_RS05890	233	217	258	17	14	17
gene-A1F92_RS05895	43	58	39	9	5	9
gene-A1F92_RS05900	420	463	510	25	17	18
gene-A1F92_RS05905	158	135	160	20	26	19
gene-A1F92_RS05910	8926	9367	9080	1210	1311	1433
gene-A1F92_RS05915	1430	1584	1581	55	49	70
gene-A1F92_RS05920	1554	1739	1767	146	516	191
gene-A1F92_RS05925	191	176	209	47	43	53
gene-A1F92_RS05930	2246	2424	2403	1871	1504	1671
gene-A1F92_RS05935	1270	1385	1349	2418	2218	2324
gene-A1F92_RS05940	11	12	13	1	3	4
gene-A1F92_RS05945	7	12	8	6	5	1
gene-A1F92_RS05950	6	7	5	1	2	4
gene-A1F92_RS05955	33	27	40	5	7	7
gene-A1F92_RS05960	271	278	263	15	19	16
gene-A1F92_RS05965	2887	3174	3039	234	228	238
gene-A1F92_RS05970	574	665	608	111	92	101
gene-A1F92_RS05975	25	34	30	13	9	6
gene-A1F92_RS16025	10	4	8	5	4	3
gene-A1F92_RS05985	40	46	58	8	6	6
gene-A1F92_RS05990	34	28	35	7	1	2
gene-A1F92_RS05995	36	58	51	4	4	7
gene-A1F92_RS06005	64	69	73	14	18	25
gene-A1F92_RS06010	23	24	38	1	0	0
gene-A1F92_RS06015	26	44	38	1	2	0
gene-A1F92_RS06020	52	48	70	3	2	4
gene-A1F92_RS06025	157	180	159	16	14	14
gene-A1F92_RS06030	754	684	682	698	534	453
gene-A1F92_RS06040	462	516	498	95	52	55
gene-A1F92_RS06045	397	409	450	105	72	75
gene-A1F92_RS06050	3530	3858	3889	45	44	47
gene-A1F92_RS06055	521	573	509	191	121	135
gene-A1F92_RS06060	652	711	668	282	191	198
gene-A1F92_RS06065	4679	4668	4742	5832	4758	4851
gene-A1F92_RS06070	64	43	43	232	174	188
gene-A1F92_RS06075	1075	1106	1174	764	477	526
gene-A1F92_RS06080	1014	1025	1084	1839	1450	1347
rna-A1F92_RS06085	1	2	1	0	1	0
rna-A1F92_RS06090	5	4	9	0	0	1
gene-A1F92_RS06095	369	405	451	58	64	68
gene-A1F92_RS06105	541	541	583	38	27	40
gene-A1F92_RS06110	625	721	679	387	295	455
gene-A1F92_RS06115	193	215	214	47	25	34
gene-A1F92_RS06120	45	50	61	24	21	22
gene-A1F92_RS06125	70	70	86	24	9	7
gene-A1F92_RS06130	40	38	35	3	2	4
gene-A1F92_RS06135	26	21	29	3	10	4
gene-A1F92_RS06140	42	45	50	7	7	5
gene-A1F92_RS06145	33	33	27	4	6	5
gene-A1F92_RS06150	100	127	97	51	33	54
gene-A1F92_RS06155	15	14	23	2	1	1
gene-A1F92_RS06160	96	109	103	4	4	8
gene-A1F92_RS06165	1299	1355	1331	22	10	35
rna-A1F92_RS06170	2	3	0	3	45	0
rna-A1F92_RS06175	12	30	30	1	0	0
gene-A1F92_RS06180	227	300	292	2	5	6
gene-A1F92_RS06185	3644	3884	3830	251	247	305
gene-A1F92_RS06190	23	12	12	11	4	4
gene-A1F92_RS06195	31	29	29	9	7	6
gene-A1F92_RS06200	113	115	117	84	74	64
gene-A1F92_RS06205	27	34	33	15	15	22
gene-A1F92_RS06210	14	21	19	0	0	0
gene-A1F92_RS06215	3	0	0	0	0	0
gene-A1F92_RS06220	1	0	1	0	0	0
gene-A1F92_RS06225	17	16	17	5	3	5
gene-A1F92_RS06230	54	50	66	10	11	13
gene-A1F92_RS06235	11	7	15	4	6	7
gene-A1F92_RS06240	8	10	12	8	4	6
gene-A1F92_RS06245	333	270	271	138	106	121
gene-A1F92_RS06250	290	277	283	17	19	36
gene-A1F92_RS06255	16	25	8	5	2	0
gene-A1F92_RS06260	328	390	372	14	18	34
gene-A1F92_RS06265	217	270	249	37	20	33
gene-A1F92_RS16285	37	39	17	8	8	6
gene-A1F92_RS06275	1695	1918	1826	125	117	140
gene-A1F92_RS06280	1494	1410	1432	350	300	313
gene-A1F92_RS06285	475	601	549	25	45	37
gene-A1F92_RS06290	1331	1486	1421	157	168	182
gene-A1F92_RS06295	649	757	707	277	246	264
gene-A1F92_RS06300	20	17	20	15	4	10
gene-A1F92_RS06305	35	29	28	16	18	23
gene-A1F92_RS06310	127	118	131	30	18	27
gene-A1F92_RS06320	8	14	15	2	2	2
gene-A1F92_RS06325	65	83	77	14	19	19
gene-A1F92_RS06330	178	182	199	57	29	38
gene-A1F92_RS06335	292	295	262	9	13	17
gene-A1F92_RS06345	72	57	67	13	11	21
gene-A1F92_RS06350	38	47	48	12	12	16
gene-A1F92_RS06355	18	18	15	6	1	3
gene-A1F92_RS06360	63	66	67	11	6	5
gene-A1F92_RS06365	44	48	62	17	12	20
gene-A1F92_RS06370	117	136	168	22	15	23
gene-A1F92_RS06375	455	537	484	53	70	78
gene-A1F92_RS06380	36	57	54	12	11	17
gene-A1F92_RS06385	513	659	733	27	23	45
gene-A1F92_RS06390	14	17	23	5	3	10
gene-A1F92_RS06395	10	21	15	5	0	3
gene-A1F92_RS06400	58	92	74	11	11	12
gene-A1F92_RS06405	30	34	45	11	6	11
gene-A1F92_RS06410	65	57	57	6	3	12
gene-A1F92_RS06415	3	7	7	24	17	21
gene-A1F92_RS06420	25	27	22	8	7	6
gene-A1F92_RS06425	94	98	91	2	2	1
gene-A1F92_RS06430	47	48	37	6	4	12
gene-A1F92_RS06435	114	124	122	65	48	64
gene-A1F92_RS06440	17	15	15	6	13	18
gene-A1F92_RS06445	35	48	31	17	18	18
gene-A1F92_RS06450	33	32	31	8	7	17
gene-A1F92_RS06455	35	35	29	15	7	12
gene-A1F92_RS06460	9555	9633	9571	399	343	473
gene-A1F92_RS06465	281	288	300	42	42	65
gene-A1F92_RS06470	448	443	449	14	28	43
gene-A1F92_RS06475	344	367	381	22	7	22
gene-A1F92_RS06480	585	668	692	23	31	38
gene-A1F92_RS06485	1722	1990	1922	356	269	370
gene-A1F92_RS06490	452	517	460	62	46	71
gene-A1F92_RS06495	604	648	575	876	928	853
gene-A1F92_RS06500	458	531	544	28	14	30
gene-A1F92_RS06505	4156	4669	4648	377	167	222
gene-A1F92_RS06510	2843	3159	3050	230	252	301
gene-A1F92_RS06515	28	22	32	90	71	81
gene-A1F92_RS06520	176	177	167	22	13	23
gene-A1F92_RS06525	93	87	95	4	3	2
gene-A1F92_RS06530	348	325	331	211	156	173
gene-A1F92_RS06535	406	407	453	424	444	454
gene-A1F92_RS06540	337	374	370	515	501	465
gene-A1F92_RS06545	101	114	120	237	144	196
gene-A1F92_RS06550	379	461	436	1105	837	850
gene-A1F92_RS06555	176	181	156	361	210	223
gene-A1F92_RS06560	489	425	472	685	1133	515
gene-A1F92_RS06565	2074	2198	2197	4675	3603	3600
gene-A1F92_RS06570	1338	1477	1536	1832	1284	1335
gene-A1F92_RS06575	475	495	518	535	326	388
gene-A1F92_RS06580	353	341	366	311	243	248
gene-A1F92_RS06585	322	331	348	300	244	249
gene-A1F92_RS06590	1194	1330	1402	807	550	644
gene-A1F92_RS06595	1056	1144	1267	1127	929	963
gene-A1F92_RS06600	7467	7808	8351	1287	1409	1439
gene-A1F92_RS06605	8493	9090	8667	739	796	849
gene-A1F92_RS06610	4148	4183	3891	3009	2386	2333
gene-A1F92_RS06615	11282	10805	10335	4285	4056	4204
gene-A1F92_RS06620	3	6	7	5	1	1
gene-A1F92_RS06625	71	72	79	13	6	15
gene-A1F92_RS06630	53	45	58	28	22	24
gene-A1F92_RS06635	90	59	78	13	9	15
gene-A1F92_RS06640	43	40	34	19	14	15
gene-A1F92_RS06645	46	58	64	32	31	28
gene-A1F92_RS06650	27	28	15	5	5	9
gene-A1F92_RS06655	553	594	556	123	62	106
gene-A1F92_RS06660	1141	1291	1256	180	130	180
gene-A1F92_RS06665	358	444	404	64	53	55
gene-A1F92_RS06670	742	757	767	135	101	100
gene-A1F92_RS06675	817	922	828	162	104	144
gene-A1F92_RS06680	585	599	558	130	134	120
gene-A1F92_RS06685	572	608	647	92	69	65
gene-A1F92_RS06690	1117	1215	1194	154	131	137
gene-A1F92_RS06695	4072	4619	4727	142	193	177
gene-A1F92_RS06700	20662	19072	18576	17252	15280	17553
gene-A1F92_RS06705	218	243	248	105	85	116
gene-A1F92_RS06710	232	292	302	114	89	108
gene-A1F92_RS06715	5878	6340	6305	1947	1819	1875
gene-A1F92_RS06720	150	156	144	60	40	62
gene-A1F92_RS06725	2499	2481	2378	3259	2317	2214
gene-A1F92_RS06730	1514	1612	1556	349	254	288
gene-A1F92_RS06735	292	279	303	29	19	23
gene-A1F92_RS06740	375	450	503	36	42	52
gene-A1F92_RS06745	120	110	114	1	0	5
gene-A1F92_RS06750	17	18	10	8	5	3
gene-A1F92_RS06755	2877	3101	3129	210	189	219
gene-A1F92_RS06760	317	352	341	66	66	79
gene-A1F92_RS06765	661	739	665	43	35	52
gene-A1F92_RS06770	1218	1272	1200	668	363	400
gene-A1F92_RS06775	1890	2088	2048	1328	1121	1125
gene-A1F92_RS06780	1732	1928	1925	63	64	98
gene-A1F92_RS06785	5664	6312	6203	752	738	935
gene-A1F92_RS06790	2030	2351	2199	94	64	119
gene-A1F92_RS06795	1548	1738	1757	72	55	97
gene-A1F92_RS06800	1781	1744	1758	75	66	89
gene-A1F92_RS06810	730	781	854	148	161	182
gene-A1F92_RS06815	616	731	763	57	47	73
gene-A1F92_RS06820	361	431	437	19	27	18
gene-A1F92_RS06825	1176	1294	1230	66	50	65
gene-A1F92_RS06830	5154	5653	5711	553	384	471
gene-A1F92_RS06835	2625	2241	2063	308	334	366
gene-A1F92_RS06840	343	370	365	27	25	28
gene-A1F92_RS06845	330	363	345	24	35	24
gene-A1F92_RS06850	1543	1686	1671	44	34	54
gene-A1F92_RS06855	4594	5047	4863	425	408	484
gene-A1F92_RS06860	148	191	202	16	12	10
gene-A1F92_RS06865	498	491	454	134	74	98
gene-A1F92_RS06870	289	232	236	554	512	481
gene-A1F92_RS06875	103	108	107	24	20	36
gene-A1F92_RS06880	228	265	306	129	91	79
gene-A1F92_RS06885	2241	2534	2846	504	388	559
gene-A1F92_RS06890	8868	10188	10796	1978	1704	1957
gene-A1F92_RS06895	1360	1556	1550	132	94	110
gene-A1F92_RS06900	1164	1288	1237	90	55	84
gene-A1F92_RS06905	1361	1423	1567	100	57	113
gene-A1F92_RS06910	873	872	925	96	82	97
gene-A1F92_RS06915	23	19	30	5	2	3
rna-A1F92_RS06920	10	4	6	2	0	0
gene-A1F92_RS16290	167	114	86	1629	1468	1292
gene-A1F92_RS16030	23018	26004	24908	1731	1762	2348
gene-A1F92_RS06930	353	398	381	406	334	345
gene-A1F92_RS06935	16544	17636	17755	3322	2724	3410
gene-A1F92_RS06940	10736	11444	11204	2438	2013	2530
gene-A1F92_RS06945	15547	15911	14410	5459	4869	5672
gene-A1F92_RS06950	3008	3426	3301	1246	1002	1058
gene-A1F92_RS06955	4880	5116	5133	1328	1111	1077
gene-A1F92_RS06960	4014	4347	4357	1522	1341	1383
gene-A1F92_RS06965	3514	3357	3280	1576	1348	1390
gene-A1F92_RS06970	581	638	698	217	183	201
gene-A1F92_RS06975	853	1001	1018	255	230	230
gene-A1F92_RS06980	127	120	145	67	53	48
gene-A1F92_RS06985	611	728	693	151	143	177
gene-A1F92_RS06990	664	766	671	132	130	106
gene-A1F92_RS06995	902	846	925	425	364	380
gene-A1F92_RS07000	606	569	648	218	184	183
gene-A1F92_RS07005	3089	3481	3538	1136	1030	1117
gene-A1F92_RS07010	1418	1483	1518	549	500	513
gene-A1F92_RS07015	2283	2420	2396	929	839	878
gene-A1F92_RS07020	2277	2583	2636	951	927	1008
gene-A1F92_RS07025	333	314	321	30	28	62
gene-A1F92_RS07030	1696	1780	1902	44	34	43
gene-A1F92_RS07035	1139	1117	1115	98	98	132
gene-A1F92_RS07040	622	666	673	74	48	82
gene-A1F92_RS07045	1480	1737	1807	183	160	217
gene-A1F92_RS07050	669	793	804	129	124	116
gene-A1F92_RS07055	1289	1238	1251	175	160	148
gene-A1F92_RS07060	608	670	665	118	122	105
gene-A1F92_RS07065	2646	2865	2876	380	350	369
gene-A1F92_RS07070	1466	1424	1512	709	639	630
gene-A1F92_RS07075	795	804	817	784	662	691
gene-A1F92_RS07080	1175	1273	1216	1273	1056	1199
gene-A1F92_RS07085	105	122	113	10	8	15
gene-A1F92_RS07090	21482	21415	18977	613	692	804
gene-A1F92_RS07095	1840	2086	2070	99	104	96
gene-A1F92_RS07100	8135	8571	8041	542	491	499
gene-A1F92_RS07105	3284	3703	3483	2202	1640	1808
gene-A1F92_RS07110	2218	2429	2424	1383	1161	1249
gene-A1F92_RS07115	2622	2733	2726	740	583	657
gene-A1F92_RS07120	443	454	486	76	44	50
gene-A1F92_RS07125	2272	2653	2526	181	167	178
gene-A1F92_RS07130	2352	2498	2407	495	476	616
gene-A1F92_RS07135	449	495	457	18	12	14
gene-A1F92_RS07140	2620	2768	2766	139	86	147
gene-A1F92_RS07145	12432	13445	13084	1131	1162	1303
gene-A1F92_RS07150	6687	6125	5948	865	873	902
gene-A1F92_RS07155	738	809	800	291	240	283
gene-A1F92_RS07160	1217	1276	1235	403	393	436
gene-A1F92_RS07165	26822	25437	26161	20765	19261	21498
gene-A1F92_RS07170	249	243	241	48	60	64
gene-A1F92_RS07175	116	122	115	33	19	36
gene-A1F92_RS07180	11	16	12	6	10	2
gene-A1F92_RS07185	116	118	98	14	10	14
gene-A1F92_RS07190	250	304	242	56	52	50
gene-A1F92_RS07195	16	5	11	5	1	8
gene-A1F92_RS07200	1	2	1	0	0	0
gene-A1F92_RS07205	4	12	13	3	1	2
gene-A1F92_RS07210	5	3	8	3	2	2
gene-A1F92_RS07215	4	1	3	4	1	1
gene-A1F92_RS07220	10	14	15	8	2	5
gene-A1F92_RS07225	7	6	9	7	11	4
gene-A1F92_RS07230	118	147	147	23	14	26
gene-A1F92_RS07235	414	433	441	81	79	84
gene-A1F92_RS07240	17	19	2	0	0	1
gene-A1F92_RS07245	48	45	47	4	3	5
gene-A1F92_RS07250	49	47	51	10	9	5
gene-A1F92_RS07255	267	284	299	899	723	713
gene-A1F92_RS07260	28	40	31	11	3	6
gene-A1F92_RS07265	330	366	362	38	18	28
gene-A1F92_RS07270	303	361	351	58	34	54
gene-A1F92_RS07275	8928	7606	7132	1459	1668	1397
gene-A1F92_RS07280	19932	17646	16779	2224	2476	2521
gene-A1F92_RS07285	4110	3833	3585	748	673	749
gene-A1F92_RS07290	14009	13235	12589	2373	2184	2425
gene-A1F92_RS07295	9589	8060	7776	2665	2428	2536
gene-A1F92_RS07300	14382	12293	11833	4346	4043	4197
gene-A1F92_RS07305	5215	5005	4577	1429	1387	1383
gene-A1F92_RS07310	3778	3314	3313	1224	990	1093
gene-A1F92_RS07315	12787	11183	11179	3807	3611	3488
gene-A1F92_RS07320	7088	6394	6418	3427	3258	3162
gene-A1F92_RS07325	7215	6327	6652	4269	3917	3809
gene-A1F92_RS07330	8049	7170	7318	4842	4443	4345
gene-A1F92_RS07335	10134	9154	9572	5238	4858	4812
gene-A1F92_RS07340	461	386	395	69	87	73
gene-A1F92_RS07345	573	560	558	136	117	120
gene-A1F92_RS07350	445	423	364	277	286	254
gene-A1F92_RS07355	415	456	439	160	153	154
gene-A1F92_RS07360	22	26	27	4	11	10
gene-A1F92_RS07365	66	58	51	10	8	15
gene-A1F92_RS07370	455	477	482	2251	1821	1768
gene-A1F92_RS07375	2	5	4	13	7	8
gene-A1F92_RS07380	11	7	16	2	1	2
gene-A1F92_RS07395	10	3	2	1	1	1
gene-A1F92_RS07405	12	7	17	2	1	0
gene-A1F92_RS16035	6	6	9	0	0	0
gene-A1F92_RS07410	123	101	138	50	43	28
gene-A1F92_RS07415	24	34	34	1	3	2
gene-A1F92_RS07420	489	523	478	72	71	77
gene-A1F92_RS07425	190	210	160	610	545	433
gene-A1F92_RS07430	197	193	197	20	33	28
gene-A1F92_RS07435	953	1162	1277	635	516	774
gene-A1F92_RS07440	260	301	321	1025	867	854
gene-A1F92_RS07445	175	158	191	945	807	741
gene-A1F92_RS07450	1456	1481	1392	241	175	195
gene-A1F92_RS07455	175	188	161	76	54	77
gene-A1F92_RS07460	1154	1240	1256	45	42	54
gene-A1F92_RS07470	1605	1700	1575	355	322	385
gene-A1F92_RS07475	866	699	672	5151	4052	4459
gene-A1F92_RS07480	118	131	122	91	73	88
gene-A1F92_RS07485	686	781	767	382	333	378
gene-A1F92_RS07490	724	717	725	78	53	88
gene-A1F92_RS07495	736	798	763	82	90	89
gene-A1F92_RS07500	423	508	503	42	22	37
gene-A1F92_RS07505	682	703	756	46	38	53
gene-A1F92_RS07510	59	48	50	6	8	9
gene-A1F92_RS07515	55	56	33	14	14	19
gene-A1F92_RS07525	103	146	138	8	13	14
gene-A1F92_RS07530	302	315	316	31	43	30
gene-A1F92_RS07535	471	551	613	88	91	102
gene-A1F92_RS07540	837	1014	975	67	53	64
gene-A1F92_RS07545	777	832	843	44	35	74
gene-A1F92_RS07550	625	592	643	84	75	91
gene-A1F92_RS07555	113	123	130	1601	1530	1476
gene-A1F92_RS07560	61	65	84	2074	1957	2152
gene-A1F92_RS07565	880	1086	1056	66	74	92
gene-A1F92_RS07570	1242	1369	1295	79	87	110
gene-A1F92_RS07575	739	780	858	24	26	26
gene-A1F92_RS07580	443	492	444	14	13	13
gene-A1F92_RS07590	1133	1192	1290	97	80	116
gene-A1F92_RS07595	971	1193	1120	36	28	38
gene-A1F92_RS07600	2774	3111	3245	222	160	194
gene-A1F92_RS07605	4552	4779	4796	452	366	555
gene-A1F92_RS07610	740	916	840	109	101	126
gene-A1F92_RS07620	5	11	14	1	0	1
gene-A1F92_RS07625	7	5	2	1	0	0
gene-A1F92_RS07630	5	8	15	1	0	0
gene-A1F92_RS07635	285	318	338	360	320	362
gene-A1F92_RS07640	34	40	34	28	22	25
gene-A1F92_RS07645	9	18	11	11	18	12
gene-A1F92_RS07650	4	11	8	7	6	10
gene-A1F92_RS07655	3567	3850	3832	429	374	396
gene-A1F92_RS07660	570	585	613	53	36	54
gene-A1F92_RS07665	108	121	125	46	32	28
gene-A1F92_RS07670	2898	3022	3054	229	159	216
rna-A1F92_RS07675	393650	380313	411676	1502177	1475396	1402563
gene-A1F92_RS07680	761	812	814	109	94	93
gene-A1F92_RS07685	93	98	105	37	22	21
gene-A1F92_RS07690	39	44	26	6	2	1
gene-A1F92_RS07695	50	48	76	20	13	27
gene-A1F92_RS07700	44	37	38	6	5	10
gene-A1F92_RS07705	17	21	23	4	3	6
gene-A1F92_RS07710	269	280	277	13	6	18
gene-A1F92_RS07715	15	24	18	5	2	1
gene-A1F92_RS07720	68	84	99	29	28	27
gene-A1F92_RS07725	108	102	135	60	41	61
gene-A1F92_RS07730	884	926	926	20	28	34
gene-A1F92_RS07735	61	72	89	7	4	4
gene-A1F92_RS07740	797	836	858	358	310	322
gene-A1F92_RS07745	211	228	194	117	104	102
gene-A1F92_RS07750	198	223	187	82	71	95
gene-A1F92_RS07755	1865	1990	2013	1266	1105	1174
gene-A1F92_RS07760	303	286	331	60	38	43
gene-A1F92_RS07765	748	771	818	160	130	177
gene-A1F92_RS07770	277	343	347	56	37	50
gene-A1F92_RS07775	569	704	652	128	109	122
gene-A1F92_RS07780	2235	2532	2611	544	550	660
gene-A1F92_RS07785	971	954	976	145	162	199
gene-A1F92_RS07790	25	42	36	17	10	7
gene-A1F92_RS07795	152	139	140	61	30	38
gene-A1F92_RS07800	130	119	130	4	2	7
gene-A1F92_RS07805	28	36	31	2	2	2
gene-A1F92_RS07810	107	105	110	4	1	7
gene-A1F92_RS07815	111	110	131	47	49	46
gene-A1F92_RS07820	33	27	29	1	3	2
gene-A1F92_RS07825	25	26	33	2	5	4
gene-A1F92_RS07830	678	780	769	97	88	96
gene-A1F92_RS07835	359	349	385	28	33	37
gene-A1F92_RS07840	1569	1618	1693	151	140	147
gene-A1F92_RS07845	750	758	819	54	54	57
gene-A1F92_RS07850	251	261	294	54	53	66
gene-A1F92_RS07855	1504	1614	1572	139	119	150
gene-A1F92_RS07860	1840	1903	1827	189	149	252
gene-A1F92_RS07865	256	250	283	38	24	16
gene-A1F92_RS07870	93	124	117	25	14	13
gene-A1F92_RS07875	129	164	156	17	5	16
gene-A1F92_RS07880	69	77	79	17	10	14
