# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "--countReadPairs" "-t" "transcript" "-g" "transcript_id" "-a" "references/GCF_001617525.2.gtf" "-o" "results/counts.txt" "results/SRR5578735.bam" "results/SRR5578736.bam" "results/SRR5578737.bam" "results/SRR5578738.bam" "results/SRR5578739.bam" "results/SRR5578740.bam" 
Geneid	results/SRR5578735.bam	results/SRR5578736.bam	results/SRR5578737.bam	results/SRR5578738.bam	results/SRR5578739.bam	results/SRR5578740.bam
gene-A1F92_RS00980	320	374	350	70	47	70
gene-A1F92_RS00985	93	81	75	16	18	22
gene-A1F92_RS16490	110	128	94	1	3	10
gene-A1F92_RS00995	11	19	19	40	34	37
gene-A1F92_RS01000	192	184	163	143	125	169
gene-A1F92_RS01005	604	664	683	541	427	448
gene-A1F92_RS01010	250	243	257	2480	1978	1882
gene-A1F92_RS01015	103	106	97	40	28	21
gene-A1F92_RS01020	19	16	13	1	2	3
gene-A1F92_RS01025	1	1	1	2	1	0
gene-A1F92_RS01030	7	5	6	2	5	2
gene-A1F92_RS01035	7	7	8	7	1	1
gene-A1F92_RS01040	22	14	16	3	2	3
gene-A1F92_RS01045	9	32	14	3	5	6
gene-A1F92_RS01050	13	11	31	13	3	9
gene-A1F92_RS01055	726	1043	1251	33	34	48
gene-A1F92_RS01060	1230	1539	2020	52	38	68
gene-A1F92_RS01065	601	710	954	32	34	48
gene-A1F92_RS01070	1330	1455	1380	146	105	122
gene-A1F92_RS01080	439	462	527	19	25	29
gene-A1F92_RS01085	31	58	38	14	12	15
gene-A1F92_RS01090	16	13	21	10	8	9
gene-A1F92_RS01095	1657	1447	1435	811	658	738
gene-A1F92_RS01100	911	945	1004	2448	1779	2166
gene-A1F92_RS01105	1284	1408	1310	6188	4818	5571
gene-A1F92_RS01110	441	491	483	805	685	784
gene-A1F92_RS01115	74	87	87	348	327	314
gene-A1F92_RS01120	25	27	22	114	89	105
gene-A1F92_RS01125	32	36	35	142	124	142
gene-A1F92_RS01130	60	67	85	92	75	98
gene-A1F92_RS01135	182	200	233	5	4	3
gene-A1F92_RS01140	1896	2229	2331	206	198	258
gene-A1F92_RS01145	20	31	31	6	5	5
gene-A1F92_RS01150	14	9	10	0	4	2
gene-A1F92_RS01155	18	17	13	0	1	1
gene-A1F92_RS01160	39	38	49	0	2	2
gene-A1F92_RS01165	221	240	261	63	61	50
gene-A1F92_RS01170	194	235	284	61	53	71
gene-A1F92_RS01175	77	74	82	16	15	18
gene-A1F92_RS01180	130	140	168	45	41	41
gene-A1F92_RS01185	167	195	201	112	55	95
gene-A1F92_RS01190	1010	976	1043	7538	7673	7083
gene-A1F92_RS01195	499	551	539	93	83	106
gene-A1F92_RS01200	2	2	6	7	1	1
gene-A1F92_RS01205	21	30	33	6	4	10
gene-A1F92_RS01210	156	172	192	2078	1374	1567
gene-A1F92_RS01215	535	489	497	425	327	370
gene-A1F92_RS01220	834	813	791	838	627	606
gene-A1F92_RS01225	140	161	180	75	44	36
gene-A1F92_RS01230	2477	2697	2948	329	316	339
gene-A1F92_RS01235	232	231	257	185	142	144
gene-A1F92_RS01240	166	198	212	27	22	44
gene-A1F92_RS01245	25	24	27	24	8	13
gene-A1F92_RS01250	32	22	25	12	8	9
gene-A1F92_RS01255	71	73	62	13	9	9
gene-A1F92_RS01260	122	98	95	10	7	5
gene-A1F92_RS01265	5125	5776	5126	202	163	328
gene-A1F92_RS01270	4283	4974	4669	128	87	240
gene-A1F92_RS01275	178	211	215	22	6	12
gene-A1F92_RS01280	200	243	254	16	9	23
gene-A1F92_RS01285	149	161	165	20	13	20
gene-A1F92_RS01290	542	590	600	109	68	102
gene-A1F92_RS01295	407	393	374	1091	1017	1013
gene-A1F92_RS01300	435	426	395	47	34	63
gene-A1F92_RS01305	77	93	100	4	10	6
gene-A1F92_RS01310	105	108	102	28	8	23
gene-A1F92_RS01315	3041	3309	3443	3080	2752	3027
gene-A1F92_RS01320	34	26	38	21	18	24
